username,content,date
cnnbrk,The Supreme Court lets Texas' six-week abortion ban stay in place and will hear oral arguments November 1 https://t.co/IdpqHwleO0,2021-10-22 16:51:23+00:00
cnnbrk,Alec Baldwin has broken his silence in the wake of a fatal shooting on the set of his new film. https://t.co/q2ktwh0CR3,2021-10-22 16:06:51+00:00
cnnbrk,"Neera Tanden is named White House staff secretary, months after her nomination to be Biden's budget chief was pulled https://t.co/vq3tq4mx0I",2021-10-22 13:14:43+00:00
cnnbrk,Pfizer says its vaccine is 90.7% effective against symptomatic Covid-19 in children age 5 to 11 https://t.co/jcVEUgcLh7,2021-10-22 12:59:23+00:00
cnnbrk,2 dead after a former employee opens fire at a Nebraska grain services facility https://t.co/qz98WVdTRa,2021-10-22 07:55:28+00:00
cnnbrk,"A crew member has died and another injured following the accidental discharge of a prop firearm by actor Alec Baldwin on the set of the film ""Rust"" https://t.co/mFA81JmhAU",2021-10-22 03:05:53+00:00
cnnbrk,"CDC director endorses recommendations for booster shots for Moderna's and Johnson &amp; Johnson's Covid-19 vaccines, plus the mix-and-match approach
https://t.co/JPPeA7QgRq",2021-10-22 01:04:27+00:00
cnnbrk,"Queen Elizabeth II spent a night at the hospital for ""preliminary investigations"" and returned to Windsor Castle today, a spokesperson says https://t.co/q5Pa4YtaoF",2021-10-21 22:43:03+00:00
cnnbrk,"FBI confirms human remains found at Carlton Reserve in Florida are those of Brian Laundrie
https://t.co/MdTxMGGh7S",2021-10-21 21:51:16+00:00
cnnbrk,"CDC advisers recommend booster doses of Moderna and Johnson &amp; Johnson Covid-19 vaccines
https://t.co/xadX8ZESBC",2021-10-21 21:23:28+00:00
cnnbrk,"Trump ally Steve Bannon held in criminal contempt by House of Representatives for defying a subpoena from the committee investigating the US Capitol riot
https://t.co/jhW71rCn0i",2021-10-21 20:16:20+00:00
cnnbrk,"The leader of the Haitian gang who kidnapped 17 US and Canadian missionaries has threatened to kill the hostages if he doesn't get what he's demanding, according to a video https://t.co/EvdU7RBK1O",2021-10-21 19:16:17+00:00
cnnbrk,"Mohamed Noor, the ex-Minneapolis officer who fatally shot a woman while responding to her 911 call in 2017, is resentenced on a lesser charge after his earlier murder conviction was thrown out by the Minnesota Supreme Court
https://t.co/cIfcxfMiCO",2021-10-21 15:36:40+00:00
cnnbrk,"London man Ali Harbi Ali, 25, is charged with the murder of UK lawmaker David Amess, who was stabbed to death last week https://t.co/Bf7aSk3kdD",2021-10-21 11:58:21+00:00
cnnbrk,"At least one person was killed and 33 injured in a powerful explosion in the northeastern Chinese city of Shenyang, according to local authorities https://t.co/IYkLVudo8g",2021-10-21 03:43:59+00:00
cnnbrk,An Italian DJ claims he suffered a number of injuries following an alleged altercation with MMA fighter Conor McGregor https://t.co/246HfOgMzy,2021-10-21 01:10:27+00:00
